Norm Continuity      X-Mtm      Y-Mtm
L2   1.206876e-04 1.013028e-04 3.633829e-05
L1   8.637480e-05 7.307400e-05 2.631105e-05
Linf 5.786190e-04 2.795353e-04 1.123887e-04
